"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.523197420E-1,5.578773022E-1,3.043282032E0,-2.126054764E-1,3.101289038E0
5.547833570E-1,4.203839302E-1,3.183957100E0,-2.335691452E-1,3.220071429E0
5.572445110E-1,1.470034122E-1,3.353244781E0,-2.299938202E-1,3.364336149E0
5.597081270E-1,-1.126480103E-2,3.483883381E0,-1.911096573E-1,3.489139322E0
5.621693420E-1,-2.013466358E-1,3.549023151E0,-1.504516602E-2,3.554761898E0
5.646329580E-1,-7.514238358E-2,3.492612362E0,1.182947159E-1,3.495422883E0
5.670941880E-1,1.051776171E0,2.668225527E0,-2.081871033E-3,2.868041999E0
5.695578040E-1,1.839957833E0,2.145787239E0,5.704307556E-2,2.827207388E0
5.720189580E-1,1.028922677E0,2.419583797E0,1.249723434E0,2.911164078E0
5.744825590E-1,-9.040594101E-3,3.007742405E0,2.721685410E0,4.056373698E0
5.769437900E-1,3.121465445E-1,2.959541559E0,3.509915352E0,4.601720057E0
5.794074050E-1,1.571071029E0,2.530724049E0,3.807356834E0,4.834128096E0
5.818686360E-1,1.728675365E0,2.465096951E0,4.279551506E0,5.232550295E0
5.843321750E-1,1.625630498E0,2.606133938E0,4.977257729E0,5.848735172E0
5.867934150E-1,1.520474076E0,2.744690180E0,5.432293892E0,6.273354966E0
5.892570310E-1,1.808064342E0,2.663546085E0,5.729973793E0,6.572379636E0
5.917182610E-1,1.517832279E0,2.354216814E0,6.042032242E0,6.659752642E0
5.941818770E-1,1.239864111E0,2.008075714E0,6.419374466E0,6.839444394E0
5.966430310E-1,8.108822107E-1,1.741968870E0,6.855442047E0,7.119625774E0
5.991066600E-1,4.665930271E-1,1.520711780E0,7.324790001E0,7.495520124E0
6.015678910E-1,1.887514591E-1,1.199673533E0,7.715830803E0,7.810818695E0
6.040315060E-1,1.079295874E-1,8.621619940E-1,7.921733856E0,7.969243338E0
6.064927370E-1,8.404052258E-2,4.911245108E-1,8.115814209E0,8.131095029E0
6.089563520E-1,7.897961140E-2,2.255818844E-1,8.283718109E0,8.287165419E0
6.114174920E-1,8.897972107E-2,7.764530182E-2,8.417793274E0,8.418621608E0
6.138811080E-1,9.245723486E-2,-1.030640602E-1,8.505540848E0,8.506667717E0
6.163423380E-1,2.264831066E-1,-2.559110522E-1,8.543465614E0,8.550297642E0
6.188059540E-1,4.297427535E-1,-4.354744554E-1,8.478007317E0,8.500054405E0
6.212671080E-1,5.236770511E-1,-5.542252064E-1,8.367878914E0,8.402547277E0
6.237307080E-1,6.984863281E-1,-7.093731165E-1,8.215298653E0,8.275398801E0
6.261919390E-1,7.014890909E-1,-8.951090574E-1,8.072166443E0,8.151881884E0
6.286555540E-1,7.151154876E-1,-1.054961801E0,8.017456055E0,8.118123930E0
6.311167850E-1,7.741997838E-1,-1.307672024E0,7.923364639E0,8.067781519E0
6.335804000E-1,1.044335485E0,-1.683008671E0,7.829483032E0,8.076135174E0
6.360415690E-1,1.034224510E0,-1.831681252E0,7.868432045E0,8.144746736E0
6.385051850E-1,1.073875666E0,-2.080432892E0,7.853432655E0,8.194987153E0
6.409664150E-1,1.192734480E0,-2.318871498E0,7.817370415E0,8.240816754E0
6.434300310E-1,1.268063307E0,-2.460247040E0,7.835422516E0,8.309912518E0
6.458911850E-1,1.159975648E0,-2.464812040E0,7.890401840E0,8.347411760E0
6.483547990E-1,9.333908558E-1,-2.439982891E0,7.922588348E0,8.342190428E0
6.508160300E-1,7.964044809E-1,-2.465373993E0,7.852458000E0,8.268822508E0
6.532796450E-1,7.686190009E-1,-2.620277405E0,7.705043793E0,8.174614896E0
6.557408760E-1,6.105042696E-1,-2.621719122E0,7.491942406E0,7.960862241E0
6.581745960E-1,3.575469851E-1,-2.730113983E0,7.284400940E0,7.787416726E0
6.606083430E-1,1.064469814E-1,-2.629163980E0,7.023401260E0,7.500133296E0
6.631292660E-1,-1.389946342E-1,-2.530789375E0,6.743178368E0,7.203795449E0
6.655904960E-1,-3.346877098E-1,-2.424880743E0,6.386902809E0,6.839926167E0
6.680541120E-1,-4.876204133E-1,-2.397147417E0,6.073117256E0,6.547277496E0
6.705152660E-1,-6.863065362E-1,-2.222992420E0,5.785793304E0,6.236033685E0
6.729788960E-1,-9.482886195E-1,-2.086370707E0,5.536680222E0,5.992246816E0
6.754401270E-1,-1.086740375E0,-1.930262446E0,5.263406754E0,5.710548871E0
6.779037420E-1,-1.234039187E0,-1.890532255E0,4.991652489E0,5.478463242E0
6.803649730E-1,-1.317188740E0,-1.774141669E0,4.708256721E0,5.200985118E0
6.828285880E-1,-1.373366356E0,-1.791304946E0,4.447947502E0,4.987899913E0
6.852897370E-1,-1.453242421E0,-1.722809553E0,4.205560684E0,4.771449147E0
6.877533530E-1,-1.612326384E0,-1.689901471E0,4.075520515E0,4.697364242E0
6.902145830E-1,-1.818871737E0,-1.544264078E0,3.959971428E0,4.623247738E0
6.926781990E-1,-1.955544949E0,-1.603932381E0,3.924213409E0,4.668640703E0
6.951393530E-1,-1.768862486E0,-1.719029784E0,3.825675964E0,4.551893505E0
6.976029630E-1,-1.423340559E0,-2.038890600E0,3.654247284E0,4.420010909E0
7.000641940E-1,-9.841592908E-1,-2.362965107E0,3.428417206E0,4.278576649E0
7.025278090E-1,-6.535249949E-1,-2.774425507E0,3.130007744E0,4.233376937E0
7.049890400E-1,-3.778274953E-1,-3.082417488E0,2.768671989E0,4.160480233E0
7.074526550E-1,-1.825519800E-1,-3.494131088E0,2.417847633E0,4.253030033E0
7.099138090E-1,1.349890232E-2,-3.799402475E0,2.003451347E0,4.295283307E0
7.123774250E-1,1.749948263E-1,-4.161500454E0,1.601949692E0,4.462617173E0
7.148386550E-1,2.979193330E-1,-4.403955936E0,1.187496185E0,4.570966091E0
7.173022710E-1,4.782872200E-1,-4.763317108E0,8.349113464E-1,4.859529349E0
7.197634250E-1,6.075807214E-1,-4.903266430E0,5.082340240E-1,4.966837811E0
7.222270490E-1,7.103410363E-1,-5.109817982E0,2.623205185E-1,5.165620606E0
7.246882800E-1,8.188480139E-1,-5.215386391E0,5.238819122E-2,5.279537082E0
7.271518950E-1,8.650857806E-1,-5.386465073E0,-6.968402863E-2,5.455935781E0
7.296131260E-1,9.172491431E-1,-5.327962399E0,-1.931238174E-1,5.409789841E0
7.320767410E-1,9.858922362E-1,-5.416517258E0,-2.543315887E-1,5.511381611E0
7.345378900E-1,1.043167710E0,-5.404406548E0,-3.449916840E-1,5.514964031E0
7.370015060E-1,1.092633963E0,-5.479330063E0,-3.997650146E-1,5.601492567E0
7.394627360E-1,1.083163500E0,-5.509914875E0,-4.945173264E-1,5.637104974E0
7.419263520E-1,1.054386258E0,-5.644392967E0,-5.706672668E-1,5.770317450E0
7.443875060E-1,9.734059572E-1,-5.786804199E0,-6.594762802E-1,5.905042842E0
7.468511210E-1,9.135843515E-1,-5.971968651E0,-6.873750687E-1,6.080421895E0
7.493123520E-1,8.657578230E-1,-6.054154396E0,-7.681684494E-1,6.163797922E0
7.517759670E-1,8.460552692E-1,-6.189294815E0,-8.273353577E-1,6.301401719E0
7.542371980E-1,8.258174658E-1,-6.224903107E0,-9.215574265E-1,6.346704756E0
7.567008130E-1,8.349031210E-1,-6.312416077E0,-9.379434586E-1,6.436101139E0
7.591619820E-1,8.458299637E-1,-6.257206917E0,-9.736995697E-1,6.388752427E0
7.616255980E-1,8.657946587E-1,-6.326368332E0,-9.126300812E-1,6.450227153E0
7.640868280E-1,8.314856291E-1,-6.329082012E0,-8.735094070E-1,6.442954769E0
7.665504440E-1,8.449162245E-1,-6.355940819E0,-8.767185211E-1,6.471514698E0
7.690115980E-1,8.219487667E-1,-6.303358078E0,-9.427452087E-1,6.426250179E0
7.714752130E-1,9.336571693E-1,-6.400613785E0,-1.178391457E0,6.574813986E0
7.739364440E-1,7.533386946E-1,-6.291066170E0,-1.078639984E0,6.427168658E0
7.764000590E-1,5.963164568E-1,-6.216167927E0,-1.163071632E0,6.352091989E0
7.788612900E-1,4.764847755E-1,-6.092491627E0,-1.287997246E0,6.245352582E0
7.813249050E-1,5.538423061E-1,-6.113449097E0,-1.395153999E0,6.295034221E0
